provinceID, provinceName, loc, county, countyloc, duchy, duchyloc, kingdom, kingdomloc, region, terrain, type, X, Y, rgb, area (pixels), county area, duchy area, kingdom area

1, b_vestfirdir, Vestfirðir, c_vestisland, Vestrland, d_iceland, Iceland, k_norway, Norway world_europe_north, mountains, inhabitable, X:271, Y:3950, rgb(42, 3, 128), AREA: 4185, County Area: 13299, Duchy Area: 35255, Kingdom Area: 147219;
44, b_carrick, Carrick, c_ossory, Ossory, d_leinster, Leinster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:574, Y:2888, rgb(168, 132, 22), AREA: 611, County Area: 2212, Duchy Area: 4540, Kingdom Area: 45466;
45, b_limerick, Limerick, c_thomond, Thomond, d_munster, Munster, k_ireland, Ireland world_europe_west_britannia, wetlands, inhabitable, X:464, Y:2895, rgb(0, 135, 150), AREA: 1234, County Area: 3369, Duchy Area: 12809, Kingdom Area: 45466;
46, b_ennis, Ennis, c_ennis, Ennis, d_munster, Munster, k_ireland, Ireland world_europe_west_britannia, wetlands, inhabitable, X:473, Y:2925, rgb(42, 138, 23), AREA: 1264, County Area: 2059, Duchy Area: 12809, Kingdom Area: 45466;
47, b_nenagh, Nenagh, c_thomond, Thomond, d_munster, Munster, k_ireland, Ireland world_europe_west_britannia, hills, inhabitable, X:510, Y:2907, rgb(84, 141, 151), AREA: 675, County Area: 3369, Duchy Area: 12809, Kingdom Area: 45466;
48, b_roscrea, Roscrea, c_thomond, Thomond, d_munster, Munster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:531, Y:2914, rgb(126, 144, 24), AREA: 476, County Area: 3369, Duchy Area: 12809, Kingdom Area: 45466;
49, b_waterford, Waterford, c_ormond, Ormond, d_munster, Munster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:554, Y:2871, rgb(168, 147, 152), AREA: 871, County Area: 2189, Duchy Area: 12809, Kingdom Area: 45466;
50, b_emly, Emly, c_ormond, Ormond, d_munster, Munster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:522, Y:2879, rgb(0, 150, 25), AREA: 746, County Area: 2189, Duchy Area: 12809, Kingdom Area: 45466;
51, b_clonmel, Clonmel, c_ormond, Ormond, d_munster, Munster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:545, Y:2894, rgb(42, 153, 153), AREA: 572, County Area: 2189, Duchy Area: 12809, Kingdom Area: 45466;
52, b_tralee, Tralee, c_desmond, Desmond, d_munster, Munster, k_ireland, Ireland world_europe_west_britannia, wetlands, inhabitable, X:428, Y:2862, rgb(84, 156, 26), AREA: 1815, County Area: 5192, Duchy Area: 12809, Kingdom Area: 45466;
53, b_cork, Cork, c_desmond, Desmond, d_munster, Munster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:518, Y:2852, rgb(126, 159, 154), AREA: 1504, County Area: 5192, Duchy Area: 12809, Kingdom Area: 45466;
54, b_kinsale, Kinsale, c_desmond, Desmond, d_munster, Munster, k_ireland, Ireland world_europe_west_britannia, forest, inhabitable, X:485, Y:2838, rgb(168, 162, 27), AREA: 933, County Area: 5192, Duchy Area: 12809, Kingdom Area: 45466;
55, b_lindholm, Lindholm, c_aalborg, Aalborg, d_jylland, Jylland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1537, Y:3180, rgb(0, 165, 155), AREA: 2471, County Area: 4405, Duchy Area: 11275, Kingdom Area: 35464;
56, b_viborg, Viborg, c_viborg, Viborg, d_jylland, Jylland, k_denmark, Denmark world_europe_north, forest, inhabitable, X:1489, Y:3123, rgb(42, 168, 28), AREA: 1279, County Area: 1988, Duchy Area: 11275, Kingdom Area: 35464;
57, b_aarhus, Aarhus, c_aarhus, Aarhus, d_jylland, Jylland, k_denmark, Denmark world_europe_north, forest, inhabitable, X:1538, Y:3113, rgb(84, 171, 156), AREA: 930, County Area: 2337, Duchy Area: 11275, Kingdom Area: 35464;
58, b_jelling, Jelling, c_aarhus, Aarhus, d_jylland, Jylland, k_denmark, Denmark world_europe_north, forest, inhabitable, X:1525, Y:3088, rgb(126, 174, 29), AREA: 833, County Area: 2337, Duchy Area: 11275, Kingdom Area: 35464;
59, b_vorbasse, Vorbasse, c_vorbasse, Vorbasse, d_slesvig, Slesvig, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1475, Y:3051, rgb(168, 177, 157), AREA: 709, County Area: 1725, Duchy Area: 7385, Kingdom Area: 35464;
60, b_ribe, Ribe, c_ribe, Ribe, d_slesvig, Slesvig, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1480, Y:3015, rgb(0, 180, 30), AREA: 1031, County Area: 2939, Duchy Area: 7385, Kingdom Area: 35464;
61, b_aabenraa, Abenraa, c_slesvig, Slesvig, d_slesvig, Slesvig, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1497, Y:3015, rgb(42, 183, 158), AREA: 1084, County Area: 2721, Duchy Area: 7385, Kingdom Area: 35464;
62, b_hedeby, Hedeby, c_slesvig, Slesvig, d_slesvig, Slesvig, k_denmark, Denmark world_europe_north, forest, inhabitable, X:1504, Y:2984, rgb(84, 186, 31), AREA: 759, County Area: 2721, Duchy Area: 7385, Kingdom Area: 35464;
63, b_roskilde, Roskilde, c_sjaelland, Sjaælland, d_sjaelland, Sjælland, k_denmark, Denmark world_europe_north, farmlands, inhabitable, X:1604, Y:3070, rgb(126, 189, 159), AREA: 811, County Area: 3868, Duchy Area: 6774, Kingdom Area: 35464;
64, b_naestved, Næstved, c_sjaelland, Sjaælland, d_sjaelland, Sjælland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1627, Y:3041, rgb(168, 192, 32), AREA: 1043, County Area: 3868, Duchy Area: 6774, Kingdom Area: 35464;
65, b_odense, Odense, c_fyn, Fyn, d_sjaelland, Sjælland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1543, Y:3048, rgb(0, 195, 160), AREA: 701, County Area: 1957, Duchy Area: 6774, Kingdom Area: 35464;
66, b_svendborg, Svendborg, c_fyn, Fyn, d_sjaelland, Sjælland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1533, Y:3032, rgb(42, 198, 33), AREA: 660, County Area: 1957, Duchy Area: 6774, Kingdom Area: 35464;
67, b_nykobing, Nykøbing, c_lolland_falster, Lolland-Falster, d_sjaelland, Sjælland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1611, Y:3013, rgb(84, 201, 161), AREA: 284, County Area: 949, Duchy Area: 6774, Kingdom Area: 35464;
68, b_nakskov, Nakskov, c_lolland_falster, Lolland-Falster, d_sjaelland, Sjælland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1591, Y:2999, rgb(126, 204, 34), AREA: 665, County Area: 949, Duchy Area: 6774, Kingdom Area: 35464;
69, b_slagelse, Slagelse, c_sjaelland, Sjaælland, d_sjaelland, Sjælland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1587, Y:3047, rgb(168, 207, 162), AREA: 871, County Area: 3868, Duchy Area: 6774, Kingdom Area: 35464;
70, b_lund, Lund, c_skane, Skåne, d_skane, Skåne, k_denmark, Denmark world_europe_north, farmlands, inhabitable, X:1668, Y:3076, rgb(0, 210, 35), AREA: 960, County Area: 4852, Duchy Area: 10030, Kingdom Area: 35464;
71, b_trelleborg, Trelleborg, c_skane, Skåne, d_skane, Skåne, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1674, Y:3056, rgb(42, 0, 163), AREA: 740, County Area: 4852, Duchy Area: 10030, Kingdom Area: 35464;
72, b_tommerup, Tommerup, c_skane, Skåne, d_skane, Skåne, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1712, Y:3052, rgb(84, 3, 36), AREA: 801, County Area: 4852, Duchy Area: 10030, Kingdom Area: 35464;
73, b_helsingborg, Helsingborg, c_skane, Skåne, d_skane, Skåne, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1675, Y:3103, rgb(126, 6, 164), AREA: 1521, County Area: 4852, Duchy Area: 10030, Kingdom Area: 35464;
74, b_halmstad, Halmstad, c_halland, Halland, d_skane, Skåne, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1655, Y:3161, rgb(168, 9, 37), AREA: 1637, County Area: 2957, Duchy Area: 10030, Kingdom Area: 35464;
75, b_onsala, Onsala, c_halland, Halland, d_skane, Skåne, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1634, Y:3191, rgb(0, 12, 165), AREA: 623, County Area: 2957, Duchy Area: 10030, Kingdom Area: 35464;
76, b_laholm, Laholm, c_halland, Halland, d_skane, Skåne, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1671, Y:3132, rgb(42, 15, 38), AREA: 697, County Area: 2957, Duchy Area: 10030, Kingdom Area: 35464;
77, b_ronne, Rønne, c_bornholm, Bornholm, d_skane, Skåne, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1759, Y:3021, rgb(84, 18, 166), AREA: 345, County Area: 345, Duchy Area: 10030, Kingdom Area: 35464;
78, b_bregne, Bregne, c_blekinge, Blekinge, d_skane, Skåne, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1751, Y:3102, rgb(126, 21, 39), AREA: 315, County Area: 1876, Duchy Area: 10030, Kingdom Area: 35464;
79, b_ronneby, Ronneby, c_blekinge, Blekinge, d_skane, Skåne, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1780, Y:3105, rgb(168, 24, 167), AREA: 567, County Area: 1876, Duchy Area: 10030, Kingdom Area: 35464;
80, b_avaskar, Avaskär, c_blekinge, Blekinge, d_skane, Skåne, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1802, Y:3101, rgb(0, 27, 40), AREA: 334, County Area: 1876, Duchy Area: 10030, Kingdom Area: 35464;
81, b_aalborg, Aalborg, c_aalborg, Aalborg, d_jylland, Jylland, k_denmark, Denmark world_europe_north, forest, inhabitable, X:1521, Y:3158, rgb(42, 30, 168), AREA: 1215, County Area: 4405, Duchy Area: 11275, Kingdom Area: 35464;
82, b_ringkobing, Ringkøbing, c_ringkobing, Ringkøbing, d_jylland, Jylland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1460, Y:3117, rgb(84, 33, 41), AREA: 653, County Area: 2545, Duchy Area: 11275, Kingdom Area: 35464;
83, b_varde, Varde, c_ribe, Ribe, d_slesvig, Slesvig, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1452, Y:3050, rgb(126, 36, 169), AREA: 968, County Area: 2939, Duchy Area: 7385, Kingdom Area: 35464;
84, b_husumbro, Husumbro, c_slesvig, Slesvig, d_slesvig, Slesvig, k_denmark, Denmark world_europe_north, forest, inhabitable, X:1463, Y:2980, rgb(168, 39, 42), AREA: 878, County Area: 2721, Duchy Area: 7385, Kingdom Area: 35464;
85, b_hafn, Hafn, c_sjaelland, Sjaælland, d_sjaelland, Sjælland, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1647, Y:3067, rgb(0, 42, 170), AREA: 557, County Area: 3868, Duchy Area: 6774, Kingdom Area: 35464;
86, b_goinge, Göinge, c_skane, Skåne, d_skane, Skåne, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1706, Y:3091, rgb(42, 45, 43), AREA: 830, County Area: 4852, Duchy Area: 10030, Kingdom Area: 35464;
87, b_lister, Lister, c_blekinge, Blekinge, d_skane, Skåne, k_denmark, Denmark world_europe_north, plains, inhabitable, X:1729, Y:3096, rgb(84, 48, 171), AREA: 660, County Area: 1876, Duchy Area: 10030, Kingdom Area: 35464;
88, b_kuressare, Kuressaare, c_osel, Saaremaa, d_esthonia, Estonia, k_esthonia, Estonia world_europe_east, plains, inhabitable, X:2078, Y:3230, rgb(126, 51, 44), AREA: 744, County Area: 2117, Duchy Area: 9622, Kingdom Area: 16933;
89, b_maasilinna, Maasilinna, c_osel, Saaremaa, d_esthonia, Estonia, k_esthonia, Estonia world_europe_east, plains, inhabitable, X:2114, Y:3243, rgb(168, 54, 172), AREA: 641, County Area: 2117, Duchy Area: 9622, Kingdom Area: 16933;
90, b_muhu, Muhu, c_osel, Saaremaa, d_esthonia, Estonia, k_esthonia, Estonia world_europe_east, plains, inhabitable, X:2117, Y:3253, rgb(0, 57, 45), AREA: 134, County Area: 2117, Duchy Area: 9622, Kingdom Area: 16933;
91, b_hiiumaa, Hiiumaa, c_osel, Saaremaa, d_esthonia, Estonia, k_esthonia, Estonia world_europe_east, plains, inhabitable, X:2088, Y:3266, rgb(42, 60, 173), AREA: 598, County Area: 2117, Duchy Area: 9622, Kingdom Area: 16933;
92, b_hapsal, Ridala, c_wiek, Wiek, d_esthonia, Estonia, k_esthonia, Estonia world_europe_east, plains, inhabitable, X:2131, Y:3269, rgb(84, 63, 46), AREA: 693, County Area: 1546, Duchy Area: 9622, Kingdom Area: 16933;
93, b_leal, Lihula, c_wiek, Wiek, d_esthonia, Estonia, k_esthonia, Estonia world_europe_east, taiga, inhabitable, X:2147, Y:3246, rgb(126, 66, 174), AREA: 853, County Area: 1546, Duchy Area: 9622, Kingdom Area: 16933;
94, b_reval, Lindanisa, c_reval, Rävala, d_esthonia, Estonia, k_esthonia, Estonia world_europe_east, plains, inhabitable, X:2157, Y:3294, rgb(168, 69, 47), AREA: 1178, County Area: 2717, Duchy Area: 9622, Kingdom Area: 16933;
95, b_harjumaa, Harjumaa, c_reval, Rävala, d_esthonia, Estonia, k_esthonia, Estonia world_europe_east, taiga, inhabitable, X:2157, Y:3267, rgb(0, 72, 175), AREA: 708, County Area: 2717, Duchy Area: 9622, Kingdom Area: 16933;
96, b_jarva, Järva, c_reval, Rävala, d_esthonia, Estonia, k_esthonia, Estonia world_europe_east, taiga, inhabitable, X:2186, Y:3271, rgb(42, 75, 48), AREA: 831, County Area: 2717, Duchy Area: 9622, Kingdom Area: 16933;
97, b_wesenburg, Tarvanpää, c_narva, Virumaa, d_esthonia, Estonia, k_esthonia, Estonia world_europe_east, taiga, inhabitable, X:2204, Y:3287, rgb(84, 78, 176), AREA: 933, County Area: 3242, Duchy Area: 9622, Kingdom Area: 16933;
98, b_narva, Narva, c_narva, Virumaa, d_esthonia, Estonia, k_esthonia, Estonia world_europe_east, plains, inhabitable, X:2245, Y:3292, rgb(126, 81, 49), AREA: 991, County Area: 3242, Duchy Area: 9622, Kingdom Area: 16933;
99, b_parnu, Parnu, c_livs, Sakala, d_livonia, Livonia, k_esthonia, Estonia world_europe_east, taiga, inhabitable, X:2174, Y:3238, rgb(168, 84, 177), AREA: 694, County Area: 2279, Duchy Area: 7311, Kingdom Area: 16933;
100, b_viljandi, Viljandi, c_livs, Sakala, d_livonia, Livonia, k_esthonia, Estonia world_europe_east, taiga, inhabitable, X:2198, Y:3225, rgb(0, 87, 50), AREA: 679, County Area: 2279, Duchy Area: 7311, Kingdom Area: 16933;
101, b_lemisele, Lemisele, c_vidzeme, Metsepole, d_livonia, Livonia, k_esthonia, Estonia world_europe_east, taiga, inhabitable, X:2187, Y:3171, rgb(42, 90, 178), AREA: 530, County Area: 1905, Duchy Area: 7311, Kingdom Area: 16933;
102, b_valmiera, Valmiera, c_talava, Talava, d_latgalians, Latigalians, k_lithuania, Lithuania world_europe_east, taiga, inhabitable, X:2208, Y:3172, rgb(84, 93, 51), AREA: 623, County Area: 1923, Duchy Area: 7990, Kingdom Area: 72140;
103, b_kokenois, Kokenois, c_kokenois, Kokenois, d_latgalians, Latigalians, k_lithuania, Lithuania world_europe_east, taiga, inhabitable, X:2215, Y:3118, rgb(126, 96, 179), AREA: 449, County Area: 1643, Duchy Area: 7990, Kingdom Area: 72140;
104, b_uxkull, Jurmala, c_zemigalians, Zemigalians, d_courland, Courland, k_lithuania, Lithuania world_europe_east, plains, inhabitable, X:2149, Y:3126, rgb(168, 99, 52), AREA: 640, County Area: 4101, Duchy Area: 14234, Kingdom Area: 72140;
105, b_bauska, Bauska, c_zemigalians, Zemigalians, d_courland, Courland, k_lithuania, Lithuania world_europe_east, forest, inhabitable, X:2162, Y:3087, rgb(0, 102, 180), AREA: 818, County Area: 4101, Duchy Area: 14234, Kingdom Area: 72140;
106, b_dobele, Dobele, c_zemigalians, Zemigalians, d_courland, Courland, k_lithuania, Lithuania world_europe_east, forest, inhabitable, X:2145, Y:3094, rgb(42, 105, 53), AREA: 1096, County Area: 4101, Duchy Area: 14234, Kingdom Area: 72140;
107, b_mitau, Mitau, c_zemigalians, Zemigalians, d_courland, Courland, k_lithuania, Lithuania world_europe_east, plains, inhabitable, X:2166, Y:3114, rgb(84, 108, 181), AREA: 631, County Area: 4101, Duchy Area: 14234, Kingdom Area: 72140;
